TransactionID,UserID,CourseID,TeacherID
TR00070,U00710,C0097,T0013
TR00071,U00807,C0009,T0110
TR00072,U01464,C0012,T0027
TR00073,U01326,C0069,T0070
TR00074,U00011,C0182,T0059
TR00075,U01086,C0182,T0006
TR00076,U01869,C0028,T0097
TR00077,U02274,C0056,T0094
TR00078,U02612,C0099,T0110
TR00079,U00772,C0197,T0099
TR00080,U01595,C0110,T0023
TR00081,U01608,C0077,T0010
TR00082,U01334,C0103,T0051
TR00083,U00885,C0106,T0019
TR00084,U01390,C0109,T0051
TR00085,U00226,C0112,T0092
TR00086,U00825,C0058,T0087
TR00087,U02266,C0078,T0068
TR00088,U00937,C0075,T0084
TR00089,U02801,C0042,T0083
TR00090,U02554,C0166,T0042
TR00091,U02307,C0068,T0091
TR00092,U01912,C0181,T0057
TR00093,U01797,C0033,T0098
TR00094,U00054,C0071,T0068
TR00095,U00727,C0056,T0120
TR00096,U02737,C0105,T0038
TR00097,U01545,C0200,T0062
TR00098,U01044,C0101,T0007
TR00099,U01914,C0051,T0112
TR00100,U01777,C0074,T0071
TR00101,U01597,C0171,T0050
TR00102,U01915,C0121,T0052
TR00103,U02467,C0143,T0026
TR00104,U02738,C0166,T0026
TR00105,U00850,C0143,T0118
TR00106,U02110,C0005,T0019
TR00107,U02264,C0083,T0009
TR00108,U00003,C0182,T0061
TR00109,U00160,C0051,T0020
TR00110,U00781,C0010,T0106
TR00111,U00893,C0140,T0109
TR00112,U02031,C0004,T0050
TR00113,U02377,C0095,T0080
TR00114,U00580,C0146,T0118
TR00115,U01934,C0080,T0081
TR00116,U01381,C0036,T0022
TR00117,U01291,C0025,T0013
TR00118,U01641,C0098,T0012
TR00119,U00952,C0164,T0010
TR00120,U02683,C0101,T0065
TR00121,U00988,C0195,T0096
TR00122,U01219,C0009,T0030
TR00123,U00921,C0061,T0008
TR00124,U02786,C0053,T0021
TR00125,U01356,C0146,T0022
TR00126,U00170,C0171,T0018
TR00127,U00521,C0163,T0066
TR00128,U01487,C0063,T0048
TR00129,U00040,C0121,T0044
TR00130,U01561,C0105,T0009
TR00131,U01419,C0004,T0067
TR00132,U00955,C0093,T0054
TR00133,U00984,C0169,T0026
TR00134,U00975,C0173,T0085
TR00135,U00038,C0178,T0094
TR00136,U02376,C0028,T0092
TR00137,U01275,C0170,T0100
TR00138,U01200,C0080,T0026
TR00139,U01626,C0076,T0034
TR00140,U00914,C0116,T0008
TR00141,U00454,C0069,T0010
TR00142,U00037,C0098,T0048
TR00143,U01712,C0001,T0055
TR00144,U00796,C0167,T0107
TR00145,U00973,C0096,T0114
TR00146,U00593,C0017,T0054
TR00147,U01138,C0112,T0078
TR00148,U01325,C0091,T0040
TR00149,U02272,C0088,T0119
TR00150,U00318,C0163,T0015
TR00151,U02397,C0174,T0081
TR00152,U02163,C0170,T0117
TR00153,U02746,C0167,T0018
TR00154,U01347,C0090,T0096
TR00155,U01592,C0049,T0102
TR00156,U01890,C0190,T0023
TR00157,U02088,C0038,T0062
TR00158,U01997,C0151,T0046
TR00159,U01773,C0150,T0087
TR00160,U01313,C0132,T0099
TR00161,U01286,C0177,T0039
TR00162,U00216,C0059,T0015
TR00163,U02384,C0068,T0053
TR00164,U02140,C0199,T0088
TR00165,U02401,C0130,T0064
TR00166,U02619,C0049,T0063
TR00167,U02864,C0126,T0092
TR00168,U01705,C0159,T0080
TR00169,U02829,C0111,T0016
TR00170,U00363,C0168,T0104
TR00171,U02605,C0048,T0103
TR00172,U01717,C0051,T0070
TR00173,U01194,C0043,T0066
TR00174,U00356,C0098,T0118
TR00175,U00191,C0183,T0013
TR00176,U02470,C0177,T0108
TR00177,U00700,C0124,T0047
TR00178,U02055,C0080,T0009
TR00179,U02181,C0185,T0063
TR00180,U00557,C0111,T0034
TR00181,U00826,C0143,T0081
TR00182,U02809,C0027,T0091
TR00183,U01055,C0196,T0029
TR00184,U02583,C0192,T0037
TR00185,U00426,C0158,T0043
TR00186,U02720,C0164,T0086
TR00187,U02411,C0195,T0115
TR00188,U01575,C0113,T0064
TR00189,U02130,C0086,T0024
TR00190,U02404,C0114,T0071
TR00191,U00589,C0124,T0034
TR00192,U02013,C0049,T0048
TR00193,U01548,C0076,T0012
TR00194,U00295,C0055,T0023
TR00195,U01986,C0056,T0079
TR00196,U01248,C0196,T0097
TR00197,U01549,C0095,T0013
TR00198,U01691,C0044,T0087
TR00199,U01137,C0159,T0102
TR00200,U01257,C0186,T0096
TR00201,U02065,C0087,T0045
TR00202,U00360,C0181,T0114
TR00203,U02914,C0084,T0099
TR00204,U00700,C0151,T0065
TR00205,U00448,C0156,T0047
TR00206,U02904,C0016,T0058
TR00207,U02413,C0165,T0109
TR00208,U00675,C0149,T0005
TR00209,U01008,C0145,T0077
TR00210,U01350,C0037,T0118
TR00211,U02515,C0077,T0005
TR00212,U02462,C0147,T0060
TR00213,U00586,C0158,T0096
TR00214,U01257,C0045,T0115
TR00215,U01248,C0146,T0021
TR00216,U00994,C0062,T0024
TR00217,U01436,C0164,T0018
TR00218,U00572,C0100,T0021
TR00219,U02383,C0052,T0054
TR00220,U01246,C0019,T0010
TR00221,U02085,C0109,T0024
TR00222,U00989,C0044,T0104
TR00223,U00278,C0007,T0111
TR00224,U01220,C0172,T0085
TR00225,U02964,C0117,T0089
TR00226,U01888,C0068,T0116
TR00227,U00484,C0034,T0060
TR00228,U01266,C0194,T0057
TR00229,U00731,C0069,T0023
TR00230,U02240,C0055,T0022
TR00231,U01041,C0010,T0068
TR00232,U02572,C0042,T0034
TR00233,U00918,C0041,T0120
TR00234,U02449,C0197,T0070
TR00235,U00886,C0122,T0028
TR00236,U02753,C0138,T0095
TR00237,U00022,C0010,T0099
TR00238,U00474,C0102,T0039
TR00239,U02258,C0188,T0042
TR00240,U02354,C0128,T0023
TR00241,U00704,C0179,T0070
TR00242,U00687,C0149,T0080
TR00243,U00285,C0136,T0002
TR00244,U00716,C0193,T0024
TR00245,U00763,C0092,T0017
TR00246,U01251,C0113,T0109
TR00247,U00948,C0078,T0065
TR00248,U02429,C0085,T0070
TR00249,U02508,C0030,T0069
TR00250,U01031,C0049,T0109
TR00251,U00029,C0009,T0060
TR00252,U00907,C0145,T0119
TR00253,U02927,C0069,T0050
TR00254,U02127,C0058,T0093
TR00255,U02995,C0185,T0012
TR00256,U02507,C0062,T0103
TR00257,U00570,C0052,T0047
TR00258,U02007,C0189,T0067
TR00259,U01454,C0040,T0112
TR00260,U00738,C0166,T0065
TR00261,U00516,C0171,T0027
TR00262,U02001,C0063,T0048
TR00263,U02445,C0147,T0088
TR00264,U00039,C0050,T0062
TR00265,U00887,C0161,T0044
TR00266,U02845,C0141,T0019
TR00267,U02205,C0078,T0059
TR00268,U01099,C0097,T0008
TR00269,U02932,C0190,T0055
TR00270,U01824,C0043,T0108
TR00271,U01711,C0177,T0047
TR00272,U00974,C0036,T0002
TR00273,U01563,C0122,T0094
TR00274,U02897,C0108,T0094
TR00275,U02796,C0010,T0113
TR00276,U00989,C0095,T0039
TR00277,U00021,C0006,T0045
TR00278,U02351,C0057,T0032
TR00279,U00869,C0129,T0065
TR00280,U00084,C0071,T0038
TR00281,U01683,C0186,T0077
TR00282,U01977,C0021,T0011
TR00283,U01411,C0092,T0010
TR00284,U01531,C0127,T0112
TR00285,U00570,C0080,T0059
TR00286,U00934,C0056,T0090
TR00287,U01981,C0116,T0120
TR00288,U01856,C0148,T0055
TR00289,U00793,C0182,T0020
TR00290,U00792,C0025,T0081
TR00291,U01810,C0156,T0017
TR00292,U01295,C0005,T0068
TR00293,U02540,C0120,T0005
TR00294,U02256,C0021,T0060
TR00295,U01608,C0018,T0023
TR00296,U01084,C0175,T0046
TR00297,U02478,C0198,T0052
TR00298,U00985,C0057,T0010
TR00299,U01681,C0093,T0046
TR00300,U00520,C0019,T0028
TR00301,U00591,C0128,T0097
TR00302,U01051,C0097,T0043
TR00303,U01710,C0193,T0026
TR00304,U02036,C0131,T0055
TR00305,U02247,C0170,T0114
TR00306,U02435,C0021,T0048
TR00307,U00349,C0040,T0029
TR00308,U00960,C0067,T0027
TR00309,U01964,C0153,T0018
TR00310,U00693,C0127,T0104
TR00311,U01560,C0055,T0060
TR00312,U00378,C0180,T0074
TR00313,U02947,C0172,T0106
TR00314,U02964,C0109,T0069
TR00315,U00527,C0098,T0074
TR00316,U02782,C0184,T0114
TR00317,U02254,C0183,T0021
TR00318,U02503,C0112,T0024
TR00319,U01260,C0198,T0102
TR00320,U01876,C0115,T0003
TR00321,U01764,C0117,T0104
TR00322,U00521,C0087,T0095
TR00323,U01702,C0081,T0062
TR00324,U01017,C0066,T0105
TR00325,U02774,C0019,T0101
TR00326,U01014,C0135,T0002
TR00327,U02549,C0118,T0066
TR00328,U00117,C0191,T0103
TR00329,U02434,C0042,T0113
TR00330,U01368,C0042,T0042
TR00331,U00584,C0059,T0108
TR00332,U00395,C0020,T0034
TR00333,U01088,C0073,T0042
TR00334,U02769,C0017,T0020
TR00335,U00072,C0027,T0097
TR00336,U00274,C0175,T0068
TR00337,U02014,C0002,T0045
TR00338,U01344,C0063,T0108
TR00339,U00338,C0062,T0075
TR00340,U01390,C0100,T0042
TR00341,U00607,C0019,T0047
TR00342,U00166,C0017,T0005
TR00343,U01568,C0069,T0089
TR00344,U02059,C0167,T0049
TR00345,U01325,C0117,T0037
TR00346,U00729,C0199,T0034
TR00347,U02849,C0081,T0073
TR00348,U02044,C0039,T0070
TR00349,U00102,C0036,T0018
TR00350,U01416,C0168,T0078
TR00351,U00779,C0173,T0019
TR00352,U00214,C0132,T0078
TR00353,U01112,C0153,T0040
TR00354,U01577,C0197,T0017
TR00355,U02449,C0158,T0060
TR00356,U02636,C0196,T0099
TR00357,U02937,C0029,T0093
TR00358,U01696,C0196,T0042
TR00359,U00592,C0051,T0081
TR00360,U01334,C0152,T0107
TR00361,U01110,C0014,T0072
TR00362,U02140,C0069,T0065
TR00363,U02721,C0146,T0109
TR00364,U00714,C0170,T0053
TR00365,U00936,C0057,T0100
TR00366,U01952,C0012,T0007
TR00367,U00242,C0017,T0110
TR00368,U02044,C0030,T0005
TR00369,U00002,C0088,T0024
TR00370,U02273,C0099,T0028
TR00371,U02849,C0023,T0062
TR00372,U01769,C0129,T0107
TR00373,U01950,C0079,T0017
TR00374,U02637,C0032,T0101
TR00375,U02164,C0009,T0020
TR00376,U00918,C0015,T0003
TR00377,U02242,C0156,T0037
TR00378,U02919,C0152,T0090
TR00379,U00090,C0188,T0015
TR00380,U01710,C0163,T0051
TR00381,U02170,C0027,T0048
TR00382,U00143,C0109,T0008
TR00383,U00106,C0076,T0013
TR00384,U00887,C0148,T0048
TR00385,U00428,C0065,T0003
TR00386,U01329,C0177,T0065
TR00387,U01896,C0109,T0073
TR00388,U01995,C0129,T0031
TR00389,U00317,C0010,T0105
TR00390,U01987,C0047,T0118
TR00391,U00635,C0123,T0026
TR00392,U01926,C0059,T0081
TR00393,U02057,C0096,T0056
TR00394,U02822,C0190,T0034
TR00395,U02271,C0103,T0009
TR00396,U01440,C0124,T0062
TR00397,U00553,C0086,T0120
TR00398,U00716,C0146,T0115
TR00399,U01288,C0112,T0013
TR00400,U01714,C0174,T0069
TR00401,U01884,C0160,T0041
TR00402,U01108,C0027,T0077
TR00403,U01342,C0018,T0001
TR00404,U00111,C0167,T0089
TR00405,U00251,C0177,T0047
TR00406,U02431,C0082,T0004
TR00407,U02055,C0172,T0100
TR00408,U00459,C0072,T0063
TR00409,U01108,C0054,T0052
TR00410,U00208,C0162,T0010
TR00411,U00900,C0071,T0028
TR00412,U00022,C0164,T0006
TR00413,U00410,C0146,T0027
TR00414,U00895,C0038,T0120
TR00415,U00515,C0187,T0012
TR00416,U00809,C0137,T0062
TR00417,U00874,C0200,T0052
TR00418,U00014,C0179,T0048
TR00419,U00971,C0035,T0067
TR00420,U02135,C0082,T0046
TR00421,U02957,C0133,T0097
TR00422,U01561,C0142,T0074
TR00423,U01325,C0158,T0095
TR00424,U01267,C0004,T0015
TR00425,U02170,C0167,T0071
TR00426,U00750,C0192,T0036
TR00427,U00685,C0153,T0014
TR00428,U01928,C0156,T0120
TR00429,U02357,C0194,T0112
TR00430,U00695,C0150,T0078
TR00431,U02336,C0159,T0003
TR00432,U00307,C0023,T0113
TR00433,U01990,C0048,T0117
TR00434,U02962,C0148,T0110
TR00435,U00662,C0125,T0114
TR00436,U00549,C0166,T0067
TR00437,U00312,C0055,T0086
TR00438,U02921,C0068,T0019
TR00439,U01083,C0088,T0099
TR00440,U02972,C0001,T0076
TR00441,U01738,C0135,T0054
TR00442,U00755,C0185,T0069
TR00443,U00035,C0095,T0010
TR00444,U00445,C0140,T0105
TR00445,U02141,C0106,T0033
TR00446,U01983,C0133,T0013
TR00447,U01231,C0108,T0099
TR00448,U00353,C0178,T0051
TR00449,U00903,C0042,T0032
TR00450,U01356,C0102,T0075
TR00451,U02910,C0124,T0112
TR00452,U01749,C0140,T0102
TR00453,U00159,C0103,T0024
TR00454,U01978,C0146,T0035
TR00455,U00957,C0194,T0083
TR00456,U02072,C0074,T0070
TR00457,U00404,C0108,T0040
TR00458,U02853,C0122,T0054
TR00459,U00516,C0017,T0109
TR00460,U02780,C0196,T0044
TR00461,U01388,C0071,T0062
TR00462,U02580,C0062,T0106
TR00463,U00956,C0041,T0099
TR00464,U02200,C0119,T0068
TR00465,U01713,C0162,T0033
TR00466,U02995,C0198,T0077
TR00467,U00608,C0045,T0056
TR00468,U02468,C0058,T0036
TR00469,U01274,C0179,T0054
TR00470,U02914,C0126,T0107
TR00471,U01536,C0162,T0019
TR00472,U02626,C0044,T0043
TR00473,U02383,C0015,T0012
TR00474,U01442,C0078,T0011
TR00475,U02980,C0070,T0070
TR00476,U01798,C0178,T0012
TR00477,U00295,C0101,T0091
TR00478,U00755,C0160,T0041
TR00479,U01395,C0195,T0025
TR00480,U00186,C0003,T0106
TR00481,U01270,C0086,T0003
TR00482,U00637,C0074,T0003
TR00483,U01292,C0051,T0084
TR00484,U00530,C0067,T0028
TR00485,U02069,C0076,T0023
TR00486,U02959,C0093,T0048
TR00487,U02915,C0176,T0067
TR00488,U00794,C0145,T0042
TR00489,U02148,C0007,T0088
TR00490,U02800,C0013,T0107
TR00491,U00478,C0120,T0040
TR00492,U01623,C0066,T0006
TR00493,U00940,C0004,T0020
TR00494,U00526,C0138,T0011
TR00495,U02382,C0088,T0096
TR00496,U00002,C0017,T0027
TR00497,U00375,C0052,T0021
TR00498,U02341,C0134,T0108
TR00499,U02885,C0069,T0112
TR00500,U00553,C0137,T0114
TR00501,U02366,C0021,T0013
TR00502,U01526,C0024,T0086
TR00503,U01852,C0004,T0035
TR00504,U00381,C0152,T0047
TR00505,U01647,C0187,T0086
TR00506,U00014,C0003,T0028
TR00507,U00504,C0068,T0021
TR00508,U02279,C0101,T0110
TR00509,U02009,C0168,T0018
TR00510,U00130,C0176,T0031
TR00511,U00838,C0054,T0060
TR00512,U02939,C0035,T0110
TR00513,U02041,C0056,T0037
TR00514,U00028,C0108,T0021
TR00515,U02114,C0040,T0014
TR00516,U01253,C0068,T0089
TR00517,U00261,C0046,T0091
TR00518,U02047,C0078,T0104
TR00519,U01473,C0141,T0060
TR00520,U01448,C0155,T0023
TR00521,U00460,C0006,T0095
TR00522,U00301,C0017,T0111
TR00523,U02967,C0164,T0029
TR00524,U02335,C0099,T0047
TR00525,U00630,C0081,T0030
TR00526,U00270,C0002,T0115
TR00527,U02640,C0077,T0090
TR00528,U01994,C0180,T0084
TR00529,U01629,C0066,T0038
TR00530,U01802,C0052,T0083
TR00531,U02892,C0092,T0027
TR00532,U00862,C0171,T0089
TR00533,U01281,C0022,T0104
TR00534,U02181,C0111,T0102
TR00535,U01800,C0107,T0116
TR00536,U01707,C0183,T0087
TR00537,U02561,C0067,T0093
TR00538,U02361,C0188,T0015
TR00539,U00576,C0186,T0059
TR00540,U02934,C0140,T0003
TR00541,U02004,C0069,T0010
TR00542,U01308,C0084,T0079
TR00543,U01957,C0103,T0120
TR00544,U02735,C0039,T0080
TR00545,U02021,C0013,T0017
TR00546,U02213,C0041,T0083
TR00547,U02353,C0057,T0011
TR00548,U01656,C0181,T0048
TR00549,U01580,C0012,T0005
TR00550,U01848,C0013,T0069
TR00551,U02204,C0120,T0064
TR00552,U01391,C0097,T0014
TR00553,U01743,C0057,T0050
TR00554,U01926,C0040,T0026
TR00555,U00620,C0118,T0072
TR00556,U01275,C0080,T0069
TR00557,U00957,C0128,T0007
TR00558,U01940,C0173,T0016
TR00559,U02382,C0035,T0055
TR00560,U00969,C0003,T0078
TR00561,U02559,C0120,T0101
TR00562,U01317,C0005,T0056
TR00563,U01044,C0011,T0105
TR00564,U00282,C0126,T0004
TR00565,U02845,C0071,T0100
TR00566,U02167,C0117,T0048
TR00567,U01059,C0184,T0120
TR00568,U00198,C0138,T0017
TR00569,U02533,C0106,T0111
TR00570,U01083,C0116,T0036
TR00571,U02885,C0162,T0070
TR00572,U01185,C0067,T0080
TR00573,U01009,C0200,T0093
TR00574,U02739,C0031,T0100
TR00575,U01230,C0075,T0038
TR00576,U01036,C0071,T0101
TR00577,U00490,C0066,T0112
TR00578,U00276,C0070,T0062
TR00579,U02741,C0041,T0048
TR00580,U02290,C0191,T0010
TR00581,U01240,C0160,T0105
TR00582,U01275,C0020,T0036
TR00583,U00126,C0185,T0029
TR00584,U00217,C0178,T0078
TR00585,U01209,C0153,T0004
TR00586,U01247,C0140,T0044
TR00587,U02543,C0199,T0056
TR00588,U02475,C0039,T0042
TR00589,U00919,C0145,T0100
TR00590,U01318,C0045,T0114
TR00591,U02199,C0139,T0109
TR00592,U02432,C0070,T0013
TR00593,U01662,C0125,T0046
TR00594,U00308,C0151,T0082
TR00595,U01360,C0091,T0033
TR00596,U01970,C0070,T0021
TR00597,U02794,C0166,T0080
TR00598,U00892,C0130,T0079
TR00599,U00375,C0084,T0118
TR00600,U02034,C0089,T0057
TR00601,U01365,C0079,T0069
TR00602,U00129,C0113,T0070
TR00603,U01015,C0093,T0102
TR00604,U01800,C0072,T0067
TR00605,U02717,C0165,T0048
TR00606,U01382,C0049,T0076
TR00607,U00517,C0052,T0100
TR00608,U01519,C0033,T0033
TR00609,U00086,C0022,T0036
TR00610,U01199,C0114,T0033
TR00611,U02359,C0133,T0031
TR00612,U01143,C0018,T0021
TR00613,U02475,C0166,T0027
TR00614,U01994,C0118,T0091
TR00615,U02162,C0117,T0072
TR00616,U00303,C0037,T0120
TR00617,U02792,C0064,T0101
TR00618,U00588,C0138,T0062
TR00619,U00987,C0079,T0096
TR00620,U01864,C0170,T0026
TR00621,U00345,C0123,T0066
TR00622,U00814,C0176,T0012
TR00623,U01988,C0044,T0022
TR00624,U02849,C0082,T0017
TR00625,U01311,C0087,T0007
TR00626,U02000,C0016,T0107
TR00627,U01678,C0054,T0068
TR00628,U01328,C0102,T0037
TR00629,U01093,C0163,T0038
TR00630,U02409,C0098,T0096
TR00631,U01010,C0156,T0011
TR00632,U00704,C0002,T0001
TR00633,U00575,C0094,T0025
TR00634,U01609,C0141,T0042
TR00635,U01113,C0169,T0052
TR00636,U00688,C0059,T0024
TR00637,U02829,C0069,T0053
TR00638,U02633,C0119,T0107
TR00639,U02637,C0092,T0056
TR00640,U00489,C0181,T0063
TR00641,U01348,C0045,T0081
TR00642,U00494,C0148,T0008
TR00643,U01668,C0024,T0059
TR00644,U01638,C0189,T0045
TR00645,U00019,C0091,T0027
TR00646,U02445,C0094,T0052
TR00647,U01001,C0058,T0018
TR00648,U00851,C0155,T0091
TR00649,U01389,C0154,T0086
TR00650,U01355,C0128,T0016
TR00651,U01368,C0007,T0066
TR00652,U00822,C0170,T0005
TR00653,U00455,C0047,T0082
TR00654,U01625,C0053,T0003
TR00655,U02773,C0187,T0091
TR00656,U00711,C0038,T0118
TR00657,U02191,C0197,T0081
TR00658,U00917,C0053,T0080
TR00659,U02876,C0143,T0070
TR00660,U02653,C0154,T0115
TR00661,U01497,C0048,T0007
TR00662,U01441,C0095,T0050
TR00663,U00305,C0147,T0014
TR00664,U00736,C0137,T0038
TR00665,U02339,C0064,T0104
TR00666,U01964,C0093,T0079
TR00667,U02150,C0182,T0111
TR00668,U02010,C0125,T0047
TR00669,U02915,C0179,T0112
TR00670,U02890,C0039,T0033
TR00671,U00962,C0004,T0043
TR00672,U02990,C0126,T0091
TR00673,U01027,C0003,T0029
TR00674,U02133,C0064,T0057
TR00675,U02376,C0029,T0101
TR00676,U02864,C0116,T0005
TR00677,U01474,C0011,T0093
TR00678,U02502,C0097,T0096
TR00679,U01948,C0102,T0060
TR00680,U02677,C0186,T0117
TR00681,U01178,C0155,T0070
TR00682,U00665,C0021,T0002
TR00683,U00012,C0039,T0070
TR00684,U01157,C0102,T0110
TR00685,U00304,C0046,T0043
TR00686,U01764,C0066,T0004
TR00687,U02831,C0091,T0056
TR00688,U00043,C0164,T0093
TR00689,U00944,C0111,T0059
TR00690,U02391,C0082,T0089
TR00691,U01350,C0123,T0009
TR00692,U02546,C0193,T0120
TR00693,U02412,C0191,T0003
TR00694,U00891,C0099,T0090
TR00695,U02475,C0035,T0048
TR00696,U01005,C0159,T0043
TR00697,U00021,C0156,T0091
TR00698,U00407,C0103,T0100
TR00699,U02667,C0129,T0096
TR00700,U01015,C0025,T0001
TR00701,U00336,C0043,T0057
TR00702,U01839,C0084,T0053
TR00703,U01148,C0195,T0118
TR00704,U02447,C0191,T0016
TR00705,U02841,C0051,T0051
TR00706,U01828,C0130,T0112
TR00707,U00715,C0126,T0075
TR00708,U00051,C0192,T0090
TR00709,U00324,C0069,T0104
TR00710,U00789,C0009,T0055
TR00711,U00141,C0002,T0001
TR00712,U00470,C0162,T0090
TR00713,U00787,C0188,T0028
TR00714,U01826,C0189,T0053
TR00715,U01358,C0159,T0058
TR00716,U01917,C0010,T0073
TR00717,U00964,C0114,T0060
TR00718,U00373,C0076,T0059
TR00719,U02542,C0164,T0108
TR00720,U01693,C0085,T0022
TR00721,U02799,C0049,T0008
TR00722,U01180,C0070,T0049
TR00723,U02339,C0177,T0042
TR00724,U01672,C0131,T0027
TR00725,U00106,C0133,T0039
TR00726,U01444,C0189,T0083
TR00727,U02718,C0090,T0025
TR00728,U01682,C0026,T0038
TR00729,U00002,C0072,T0085
TR00730,U02637,C0005,T0024
TR00731,U02692,C0015,T0024
TR00732,U02138,C0123,T0060
TR00733,U00350,C0144,T0083
TR00734,U01287,C0001,T0050
TR00735,U01063,C0144,T0111
TR00736,U02957,C0165,T0066
TR00737,U02207,C0003,T0014
TR00738,U02360,C0180,T0053
TR00739,U00445,C0047,T0032
TR00740,U02346,C0095,T0106
TR00741,U00952,C0013,T0096
TR00742,U00036,C0120,T0092
TR00743,U01108,C0055,T0048
TR00744,U01476,C0149,T0039
TR00745,U01799,C0066,T0040
TR00746,U01846,C0182,T0042
TR00747,U01409,C0155,T0111
TR00748,U01196,C0166,T0104
TR00749,U01400,C0090,T0077
TR00750,U01709,C0186,T0076
TR00751,U01386,C0062,T0008
TR00752,U02607,C0102,T0079
TR00753,U02939,C0174,T0026
TR00754,U02189,C0139,T0012
TR00755,U02935,C0200,T0043
TR00756,U01301,C0008,T0051
TR00757,U02774,C0097,T0110
TR00758,U01244,C0117,T0091
TR00759,U00521,C0199,T0082
TR00760,U01807,C0064,T0109
TR00761,U00010,C0021,T0100
TR00762,U00984,C0200,T0063
TR00763,U02426,C0115,T0049
TR00764,U01657,C0191,T0115
TR00765,U01661,C0085,T0027
TR00766,U02730,C0192,T0009
TR00767,U02632,C0020,T0119
TR00768,U02200,C0008,T0039
TR00769,U00720,C0058,T0065
TR00770,U01073,C0046,T0071
TR00771,U00859,C0031,T0090
TR00772,U01317,C0093,T0071
TR00773,U01604,C0009,T0116
TR00774,U00050,C0015,T0007
TR00775,U02712,C0094,T0072
TR00776,U02579,C0154,T0080
TR00777,U02905,C0138,T0067
TR00778,U00146,C0029,T0109
TR00779,U00915,C0080,T0010
TR00780,U01463,C0036,T0114
TR00781,U02290,C0084,T0071
TR00782,U00581,C0109,T0085
TR00783,U02735,C0118,T0053
TR00784,U01585,C0037,T0101
TR00785,U00483,C0086,T0095
TR00786,U01250,C0071,T0087
TR00787,U00673,C0151,T0057
TR00788,U00631,C0169,T0091
TR00789,U02709,C0093,T0120
TR00790,U00662,C0080,T0086
TR00791,U02853,C0102,T0103
TR00792,U02467,C0156,T0027
TR00793,U00988,C0176,T0054
TR00794,U01547,C0166,T0113
TR00795,U00650,C0159,T0004
TR00796,U00969,C0014,T0088
TR00797,U02638,C0117,T0023
TR00798,U01101,C0073,T0048
TR00799,U02557,C0091,T0083
TR00800,U00441,C0090,T0042
TR00801,U00921,C0029,T0003
TR00802,U00770,C0179,T0091
TR00803,U01344,C0049,T0003
TR00804,U01827,C0171,T0028
TR00805,U00263,C0072,T0063
TR00806,U01578,C0133,T0081
TR00807,U02685,C0042,T0031
TR00808,U02507,C0135,T0010
TR00809,U00999,C0042,T0049
TR00810,U00700,C0164,T0086
TR00811,U02350,C0105,T0094
TR00812,U01604,C0027,T0113
TR00813,U01242,C0058,T0021
TR00814,U01126,C0046,T0100
TR00815,U02602,C0066,T0053
TR00816,U02336,C0025,T0087
TR00817,U01191,C0073,T0102
TR00818,U02669,C0117,T0076
TR00819,U01006,C0155,T0089
TR00820,U00036,C0129,T0054
TR00821,U00744,C0087,T0057
