TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating
T0100,Teacher_100,29,Female,Programming,19,3.75
T0101,Teacher_101,50,Female,Data Science,5,3.37
T0102,Teacher_102,38,Female,Data Science,22,3.61
T0103,Teacher_103,51,Male,Business,25,3.9
T0104,Teacher_104,33,Male,Data Science,29,3.97
T0105,Teacher_105,39,Female,Data Science,14,3.5
T0106,Teacher_106,39,Female,Business,28,3.7
T0107,Teacher_107,50,Male,Data Science,5,3.17
T0108,Teacher_108,37,Male,Data Science,15,3.65
T0109,Teacher_109,56,Female,Data Science,17,4.0
T0110,Teacher_110,56,Male,Programming,14,3.75
T0111,Teacher_111,28,Female,Programming,20,4.31
T0112,Teacher_112,54,Female,Programming,5,2.94
T0113,Teacher_113,47,Male,Business,12,3.66
T0114,Teacher_114,39,Male,Marketing,16,3.59
T0115,Teacher_115,53,Female,Data Science,26,4.52
T0116,Teacher_116,37,Female,Data Science,26,3.62
T0117,Teacher_117,56,Male,Business,16,3.28
T0118,Teacher_118,31,Female,Data Science,21,3.52
T0119,Teacher_119,46,Male,Programming,7,2.6
T0120,Teacher_120,52,Female,Marketing,4,2.98
